backend,engine,transactionMode,test,workload,tenantMode,tenantCount,concurrency,run,success,errors,errorRate,rps,p50,p90,p95,p99,mean,max,dbP50,replicaRate,attempted,attemptsTotal,committed,successAfterRetry,failedAfterRetries,conflicts,conflictRate,retries,retryRate,avgRetries,mode,loadModel
turso-reused,libsql,none,lesson-page,lms,single,1,10,1,590,2,0.0034,29.18,267.68,338.99,387.36,723.82,290.39,793.65,154,,,,,,,,,,,,edge,constant
turso-reused,libsql,none,update-progress,lms,single,1,10,1,541,0,0.0000,26.76,360.16,510.74,550.63,724.29,371.66,884.71,220,,,,,,,,,,,,edge,constant
turso-reused,libsql,none,submit-quiz-answer,lms,single,1,10,1,442,0,0.0000,21.8,444.57,568.87,614.13,717.16,455.88,726.65,322,,,,,,,,,,,,edge,constant
tursodb-reused,tursodb,none,lesson-page,lms,single,1,10,1,643,0,0.0000,31.63,287.64,399.27,444.49,705.06,315.59,1204.65,154,,,,,,,,,,,,edge,constant
tursodb-reused,tursodb,none,update-progress,lms,single,1,10,1,196,0,0.0000,9.38,1022.7,1378.44,1472.25,1670.29,1044.38,1670.41,855,,,,,,,,,,,,edge,constant
tursodb-reused,tursodb,none,submit-quiz-answer,lms,single,1,10,1,205,0,0.0000,9.56,970.21,1203.06,1393.26,1508.45,1015.75,1575.18,859,,,,,,,,,,,,edge,constant
tursodb-concurrent,tursodb,none,lesson-page,lms,single,1,10,1,680,0,0.0000,32.52,269.19,415.91,480.52,671.91,301.91,981.92,153,,,,,,,,,,,,edge,constant
tursodb-concurrent,tursodb,concurrent,update-progress,lms,single,1,10,1,100,0,0.0000,4.63,2195.51,2316.59,2351.87,2387.57,2093.86,2718.43,2059,,100,100,100,0,0,0,0.0000,0,0.0000,0.0000,edge,constant
tursodb-concurrent,tursodb,concurrent,submit-quiz-answer,lms,single,1,10,1,112,12,0.0968,5.25,1887.67,2214.78,2291.73,2355.86,1776.01,2400.17,1713,,124,166,112,4,12,54,0.3253,42,0.2530,0.3387,edge,constant
d1-eeur,d1,none,lesson-page,lms,single,1,10,1,574,0,0.0000,28.45,289.95,545.18,703.14,878.44,351.38,978.37,145,,,,,,,,,,,,edge,constant
d1-eeur,d1,none,update-progress,lms,single,1,10,1,727,0,0.0000,36.17,230.03,377.96,522.36,1092.18,276.23,1107.53,104,,,,,,,,,,,,edge,constant
d1-eeur,d1,none,submit-quiz-answer,lms,single,1,10,1,497,0,0.0000,24.41,351.17,656.76,758.13,909.41,405.75,967.36,210,,,,,,,,,,,,edge,constant
