backend,engine,transactionMode,test,workload,tenantMode,tenantCount,concurrency,run,success,errors,errorRate,rps,p50,p90,p95,p99,mean,max,dbP50,replicaRate,attempted,attemptsTotal,committed,successAfterRetry,failedAfterRetries,conflicts,conflictRate,retries,retryRate,avgRetries,mode,loadModel
turso-reused,libsql,none,point-read,kv,single,1,1,1,113,0,0.0000,5.63,166.14,206.17,221.33,341.4,177.63,530.41,43,,,,,,,,,,,,edge,constant
turso-reused,libsql,none,point-read,kv,single,1,10,1,1284,0,0.0000,63.79,146.68,178.51,202.12,410.02,156.3,555.16,40,,,,,,,,,,,,edge,constant
turso-reused,libsql,none,point-read,kv,single,1,50,1,2285,5497,0.7064,113.52,149.86,176.74,207.82,593.4,161.39,674.01,40,,,,,,,,,,,,edge,constant
turso-reused,,,insert,kv,single,1,1,1,0,184,1.0000,0,0,0,0,0,0,0,,,,,,,,,,,,,edge,constant
turso-reused,,,insert,kv,single,1,10,1,0,1816,1.0000,0,0,0,0,0,0,0,,,,,,,,,,,,,edge,constant
turso-reused,libsql,none,insert,kv,single,1,50,1,622,7152,0.9200,30.4,242.05,487.12,535.23,646.8,287.16,712.68,120,,,,,,,,,,,,edge,constant
turso-reused,,,independent-writes,concurrency,single,1,1,1,0,189,1.0000,0,0,0,0,0,0,0,,,,,,,,,,,,,edge,constant
turso-reused,libsql,transaction,independent-writes,concurrency,single,1,10,1,311,1379,0.8160,15.46,161.5,193.74,216.7,253.51,168.14,347.79,57,,,,,,,,,,,,edge,constant
turso-reused,libsql,transaction,independent-writes,concurrency,single,1,50,1,1036,4057,0.7966,50.06,484.88,716.8,827.56,937.48,533.6,1018.63,374,,,,,,,,,,,,edge,constant
turso-reused,,,hot-row-write,concurrency,single,1,1,1,0,190,1.0000,0,0,0,0,0,0,0,,,,,,,,,,,,,edge,constant
turso-reused,libsql,transaction,hot-row-write,concurrency,single,1,10,1,480,1154,0.7062,23.86,162.85,188.26,203.2,269.16,167.39,355.23,59,,,,,,,,,,,,edge,constant
turso-reused,libsql,transaction,hot-row-write,concurrency,single,1,50,1,1035,1545,0.5988,49.24,810.7,950.12,979.3,1072.35,826.65,1105.2,705,,,,,,,,,,,,edge,constant
tursodb-reused,tursodb,none,point-read,kv,single,1,1,1,133,0,0.0000,6.62,144.86,160.88,193.35,282.66,151.08,421.91,42,,,,,,,,,,,,edge,constant
tursodb-reused,tursodb,none,point-read,kv,single,1,10,1,1366,1,0.0007,67.93,140.36,156.81,164.57,219.69,143.25,279.9,38,,,,,,,,,,,,edge,constant
