backend,engine,transactionMode,test,workload,tenantMode,tenantCount,concurrency,run,success,errors,errorRate,rps,p50,p90,p95,p99,mean,max,dbP50,replicaRate,attempted,attemptsTotal,committed,successAfterRetry,failedAfterRetries,conflicts,conflictRate,retries,retryRate,avgRetries,mode,loadModel
turso-reused,libsql,none,point-read,kv,single,1,1,1,125,0,0.0000,6.23,155.24,181.63,196.55,229.85,160.32,272.68,42,,,,,,,,,,,,edge,constant
turso-reused,libsql,none,point-read,kv,single,1,10,1,1261,0,0.0000,62.72,148.14,184.51,216.13,370.64,159.1,570.94,41,,,,,,,,,,,,edge,constant
turso-reused,libsql,none,point-read,kv,single,1,50,1,2555,4366,0.6308,126.91,153.64,219.47,240.91,523.57,168.04,692.28,39,,,,,,,,,,,,edge,constant
turso-reused,libsql,none,point-read,kv,single,1,100,1,6088,6890,0.5309,301.73,158.36,213.22,266.84,396.97,173.29,561.54,40,,,,,,,,,,,,edge,constant
turso-reused,libsql,none,point-read,kv,single,1,200,1,12219,7067,0.3664,605.89,180,284.93,310.52,573.67,206.94,2717.96,41,,,,,,,,,,,,edge,constant
tursodb-reused,tursodb,none,point-read,kv,single,1,1,1,138,0,0.0000,6.86,141.82,155.88,166.21,260,145.72,410.13,39,,,,,,,,,,,,edge,constant
tursodb-reused,tursodb,none,point-read,kv,single,1,10,1,1332,0,0.0000,66.11,146.2,170.94,188.86,223.78,150.78,256.37,40,,,,,,,,,,,,edge,constant
tursodb-reused,tursodb,none,point-read,kv,single,1,50,1,6477,0,0.0000,320.14,147.94,186.3,202.66,276.98,155.54,626.72,41,,,,,,,,,,,,edge,constant
tursodb-reused,tursodb,none,point-read,kv,single,1,100,1,12457,0,0.0000,617.51,152.38,184,207.87,417.94,161.31,599.56,41,,,,,,,,,,,,edge,constant
tursodb-reused,tursodb,none,point-read,kv,single,1,200,1,15930,4070,0.2035,914.23,165.88,209.55,233.56,403.03,176.4,766.29,44,,,,,,,,,,,,edge,constant
tursodb-concurrent,tursodb,none,point-read,kv,single,1,1,1,135,0,0.0000,6.73,144.98,160.3,170.71,279.99,148.58,285.5,39,,,,,,,,,,,,edge,constant
tursodb-concurrent,tursodb,none,point-read,kv,single,1,10,1,1377,0,0.0000,68.4,142.92,163.51,173.83,206.17,145.78,278.27,40,,,,,,,,,,,,edge,constant
tursodb-concurrent,tursodb,none,point-read,kv,single,1,50,1,6256,0,0.0000,310.31,153.88,194.03,210.2,246.5,160.63,392.23,40,,,,,,,,,,,,edge,constant
tursodb-concurrent,tursodb,none,point-read,kv,single,1,100,1,11075,803,0.0676,548.45,159.68,211.67,248.52,310.6,171.7,893.24,40,,,,,,,,,,,,edge,constant
tursodb-concurrent,tursodb,none,point-read,kv,single,1,200,1,15345,4655,0.2328,843.41,171.59,229.26,259.99,451.36,185.33,1054.41,43,,,,,,,,,,,,edge,constant
d1-eeur,d1,none,point-read,kv,single,1,1,1,129,0,0.0000,6.41,148.19,192.56,205.4,213.08,155.91,223.72,36,,,,,,,,,,,,edge,constant
d1-eeur,d1,none,point-read,kv,single,1,10,1,1422,0,0.0000,70.59,138.74,158.16,166.52,211.52,141.55,248.68,34,,,,,,,,,,,,edge,constant
d1-eeur,d1,none,point-read,kv,single,1,50,1,4658,0,0.0000,231.23,220,267.71,295.03,395.51,215,552.72,96,,,,,,,,,,,,edge,constant
d1-eeur,d1,none,point-read,kv,single,1,100,1,5353,0,0.0000,259.71,363.02,508.23,580.62,621.61,384.51,1446.59,211,,,,,,,,,,,,edge,constant
d1-eeur,d1,none,point-read,kv,single,1,200,1,6606,0,0.0000,328.22,584.69,776.65,891.59,1098.97,608.49,1778.97,407,,,,,,,,,,,,edge,constant
