backend,engine,transactionMode,test,workload,tenantMode,tenantCount,concurrency,run,success,errors,errorRate,rps,p50,p90,p95,p99,mean,max,dbP50,replicaRate,attempted,attemptsTotal,committed,successAfterRetry,failedAfterRetries,conflicts,conflictRate,retries,retryRate,avgRetries,mode,loadModel
turso-reused,libsql,none,point-read,kv,single,1,1,1,203,0,0.0000,6.74,139.7,204.56,205.07,215.34,148.32,229.52,36,,,,,,,,,,,,edge,constant
turso-reused,libsql,none,point-read,kv,single,1,10,1,1783,10,0.0056,59.2,136.31,161.95,194.69,380.85,145.98,640.34,36,,,,,,,,,,,,edge,constant
turso-reused,libsql,none,point-read,kv,single,1,50,1,2146,269,0.1114,61.32,136.63,306.67,353.05,557.76,166.33,876.21,36,,,,,,,,,,,,edge,constant
turso-reused,libsql,none,point-read,kv,single,1,100,1,2343,566,0.1946,67.04,139.24,328.43,382.67,510.6,180.23,604.53,36,,,,,,,,,,,,edge,constant
turso-reused,libsql,none,point-read,kv,single,1,200,1,4536,1092,0.1940,129.64,146.85,346.43,478.07,1100.54,216.43,1590.07,37,,,,,,,,,,,,edge,constant
turso-reused,libsql,none,insert,kv,single,1,1,1,29,5,0.1471,0.96,162.64,199.26,268.85,313.68,175.05,313.68,56,,,,,,,,,,,,edge,constant
turso-reused,libsql,none,insert,kv,single,1,10,1,189,56,0.2286,5.43,170.18,436.12,649.71,752.45,249.89,757.94,55,,,,,,,,,,,,edge,constant
turso-reused,libsql,none,insert,kv,single,1,50,1,1141,259,0.1850,32.71,176.21,407.46,592.07,1341.28,261.92,1627.39,67,,,,,,,,,,,,edge,constant
turso-reused,libsql,none,insert,kv,single,1,100,1,1693,392,0.1880,48.47,631.1,1165.87,1431.07,2470.19,721.2,2938.04,508,,,,,,,,,,,,edge,constant
turso-reused,libsql,none,insert,kv,single,1,200,1,1796,508,0.2205,51.33,2190.62,3286.22,3415.43,3905.02,2098.54,4773.74,1993,,,,,,,,,,,,edge,constant
turso-reused,libsql,transaction,independent-writes,concurrency,single,1,1,1,31,5,0.1389,0.89,309.81,364.75,368.18,368.88,315.71,368.88,203,,,,,,,,,,,,edge,constant
turso-reused,libsql,transaction,independent-writes,concurrency,single,1,10,1,225,32,0.1245,6.53,668.44,891.73,1013.64,1309.35,688.19,1529.88,559,,,,,,,,,,,,edge,constant
turso-reused,libsql,transaction,independent-writes,concurrency,single,1,50,1,33,298,0.9003,0.94,2961.22,4446.35,4755.64,4860.39,2872.44,4860.39,2619,,,,,,,,,,,,edge,constant
turso-reused,libsql,transaction,independent-writes,concurrency,single,1,100,1,87,590,0.8715,2.84,525.09,743.88,919.42,1564.91,585.78,1564.91,410,,,,,,,,,,,,edge,constant
turso-reused,libsql,transaction,independent-writes,concurrency,single,1,200,1,118,1182,0.9092,3.84,763.05,869.17,921.34,1033.37,774.97,1147.75,662,,,,,,,,,,,,edge,constant
turso-reused,libsql,transaction,hot-row-write,concurrency,single,1,1,1,47,0,0.0000,1.57,614.46,804.03,833.37,921.94,638.31,921.94,405,,,,,,,,,,,,edge,constant
turso-reused,libsql,transaction,hot-row-write,concurrency,single,1,10,1,116,42,0.2658,3.81,760.39,939.92,1066.21,1210.68,782.77,1248.03,655,,,,,,,,,,,,edge,constant
turso-reused,libsql,transaction,hot-row-write,concurrency,single,1,50,1,149,269,0.6435,4.78,1137.85,1331.05,1377.76,1511.43,1069.38,1668.73,1018,,,,,,,,,,,,edge,constant
turso-reused,libsql,transaction,hot-row-write,concurrency,single,1,100,1,172,532,0.7557,5.39,2148.75,2337.66,2368.72,2643.04,2044.38,2798.73,2025,,,,,,,,,,,,edge,constant
turso-reused,libsql,transaction,hot-row-write,concurrency,single,1,200,1,181,1113,0.8601,5.56,2517.69,3071.77,3205.65,3404.57,2518.26,3431.61,2360,,,,,,,,,,,,edge,constant
tursodb-reused,tursodb,none,point-read,kv,single,1,1,1,186,0,0.0000,6.19,150.58,197.74,246.73,307.07,161.59,312.57,76,,,,,,,,,,,,edge,constant
tursodb-reused,tursodb,none,point-read,kv,single,1,10,1,2098,0,0.0000,69.63,139.62,164.91,176.55,204.57,143.34,402,41,,,,,,,,,,,,edge,constant
tursodb-reused,tursodb,none,point-read,kv,single,1,50,1,9838,10,0.0010,324.08,141.68,174.48,192.58,241.33,148.92,616.19,38,,,,,,,,,,,,edge,constant
tursodb-reused,tursodb,none,point-read,kv,single,1,100,1,19476,0,0.0000,645.91,145.98,181.12,205.74,313.62,154.38,640.89,39,,,,,,,,,,,,edge,constant
tursodb-reused,tursodb,none,point-read,kv,single,1,200,1,19999,1,0.0001,1168.2,155.47,210.77,237.4,340.31,169.71,882.72,41,,,,,,,,,,,,edge,constant
tursodb-reused,tursodb,none,insert,kv,single,1,1,1,93,0,0.0000,3.09,307.32,410.14,443.34,565.58,323.03,565.58,122,,,,,,,,,,,,edge,constant
tursodb-reused,tursodb,none,insert,kv,single,1,10,1,514,0,0.0000,16.68,597.77,687.06,731.52,779.81,592.26,874.48,497,,,,,,,,,,,,edge,constant
tursodb-reused,tursodb,none,insert,kv,single,1,50,1,488,43,0.0810,13.96,2760.38,3720.88,4090.27,4895.14,2881.63,4999.91,2657,,,,,,,,,,,,edge,constant
tursodb-reused,tursodb,none,insert,kv,single,1,100,1,275,436,0.6132,7.86,3669.21,4608.24,4790.14,4971.66,3608.11,4983.19,3501,,,,,,,,,,,,edge,constant
tursodb-reused,tursodb,none,insert,kv,single,1,200,1,203,1102,0.8444,5.8,3630.78,4790.26,4899.55,4985.47,3625.13,4998.73,3347,,,,,,,,,,,,edge,constant
tursodb-reused,tursodb,transaction,independent-writes,concurrency,single,1,1,1,46,27,0.3699,1.52,542.22,763.19,817.7,921.27,566.39,921.27,325,,,,,,,,,,,,edge,constant
tursodb-reused,tursodb,transaction,independent-writes,concurrency,single,1,10,1,161,170,0.5136,4.64,539.84,745.04,773.92,992.2,559.75,1006.5,423,,,,,,,,,,,,edge,constant
tursodb-reused,tursodb,transaction,independent-writes,concurrency,single,1,50,1,153,285,0.6507,4.39,2450.79,3146.91,3441.74,3743.22,2373.53,3791.72,2292,,,,,,,,,,,,edge,constant
tursodb-reused,tursodb,transaction,independent-writes,concurrency,single,1,100,1,99,573,0.8527,2.83,4011.75,4626.15,4699.61,4961.11,3722.82,4961.11,3635,,,,,,,,,,,,edge,constant
tursodb-reused,,,independent-writes,concurrency,single,1,200,1,0,1385,1.0000,0,0,0,0,0,0,0,,,,,,,,,,,,,edge,constant
tursodb-reused,,,hot-row-write,concurrency,single,1,1,1,0,269,1.0000,0,0,0,0,0,0,0,,,,,,,,,,,,,edge,constant
tursodb-reused,,,hot-row-write,concurrency,single,1,10,1,0,630,1.0000,0,0,0,0,0,0,0,,,,,,,,,,,,,edge,constant
tursodb-reused,,,hot-row-write,concurrency,single,1,50,1,0,844,1.0000,0,0,0,0,0,0,0,,,,,,,,,,,,,edge,constant
tursodb-reused,,,hot-row-write,concurrency,single,1,100,1,0,1322,1.0000,0,0,0,0,0,0,0,,,,,,,,,,,,,edge,constant
tursodb-reused,,,hot-row-write,concurrency,single,1,200,1,0,2238,1.0000,0,0,0,0,0,0,0,,,,,,,,,,,,,edge,constant
tursodb-concurrent,,,point-read,kv,single,1,1,1,0,295,1.0000,0,0,0,0,0,0,0,,,,,,,,,,,,,edge,constant
tursodb-concurrent,tursodb,none,point-read,kv,single,1,10,1,3,1685,0.9982,0.1,160.22,461.57,461.57,461.57,259.21,461.57,67,,,,,,,,,,,,edge,constant
tursodb-concurrent,tursodb,none,point-read,kv,single,1,50,1,26,1685,0.9848,0.81,170.5,732.67,760.05,837.95,339.84,837.95,49,,,,,,,,,,,,edge,constant
tursodb-concurrent,tursodb,none,point-read,kv,single,1,100,1,44,2084,0.9793,1.32,163.8,684.64,770.81,869.42,324.62,869.42,48,,,,,,,,,,,,edge,constant
tursodb-concurrent,tursodb,none,point-read,kv,single,1,200,1,162,3075,0.9500,4.98,155.21,676.54,780.69,1536.02,249.63,1964.79,47,,,,,,,,,,,,edge,constant
tursodb-concurrent,tursodb,concurrent,insert,kv,single,1,1,1,64,0,0.0000,2.12,436.44,617.7,664.89,819.84,472.53,819.84,287,,64,64,64,0,0,0,0.0000,0,0.0000,0.0000,edge,constant
tursodb-concurrent,tursodb,concurrent,insert,kv,single,1,10,1,158,0,0.0000,5.06,1993.73,2120.99,2150.75,2359.28,1949.67,2383.55,1872,,158,158,158,0,0,0,0.0000,0,0.0000,0.0000,edge,constant
