backend,engine,transactionMode,test,workload,tenantMode,tenantCount,concurrency,run,success,errors,errorRate,rps,p50,p90,p95,p99,mean,max,dbP50,replicaRate,attempted,attemptsTotal,committed,successAfterRetry,failedAfterRetries,conflicts,conflictRate,retries,retryRate,avgRetries,mode,loadModel
turso-reused,libsql,none,insert,kv,single,1,1,1,119,0,0.0000,5.95,154.69,204.58,248.18,396.1,168.06,501.78,54,,,,,,,,,,,,edge,constant
turso-reused,libsql,none,insert,kv,single,1,10,1,921,19,0.0202,45.66,190.43,321.68,365.57,529.35,214.6,665.2,87,,,,,,,,,,,,edge,constant
turso-reused,libsql,transaction,independent-writes,concurrency,single,1,1,1,121,0,0.0000,6.04,157.99,183.96,240.79,256.87,165.43,260.31,54,,,,,,,,,,,,edge,constant
turso-reused,libsql,transaction,independent-writes,concurrency,single,1,10,1,998,0,0.0000,48.7,186.79,268.64,310.61,401.47,203.39,493.68,83,,,,,,,,,,,,edge,constant
turso-reused,libsql,transaction,hot-row-write,concurrency,single,1,1,1,120,0,0.0000,5.96,156.6,200.9,222.99,253.76,167.87,594.94,55,,,,,,,,,,,,edge,constant
turso-reused,libsql,transaction,hot-row-write,concurrency,single,1,10,1,897,0,0.0000,44.37,197.51,324.04,371.28,544.99,224.35,574.38,88,,,,,,,,,,,,edge,constant
tursodb-reused,tursodb,none,insert,kv,single,1,1,1,68,0,0.0000,3.38,288.46,409.62,409.74,441.16,296.22,441.16,173,,,,,,,,,,,,edge,constant
tursodb-reused,tursodb,none,insert,kv,single,1,10,1,238,1,0.0042,11.25,820.44,1231.97,1306.59,1374.73,863.24,1418.8,712,,,,,,,,,,,,edge,constant
tursodb-reused,tursodb,transaction,independent-writes,concurrency,single,1,1,1,73,0,0.0000,3.63,278.57,310.71,342.49,409.44,275.17,409.44,178,,,,,,,,,,,,edge,constant
tursodb-reused,tursodb,transaction,independent-writes,concurrency,single,1,10,1,305,0,0.0000,14.36,569.35,1209.75,1314.6,1388.68,677.5,1408.2,467,,,,,,,,,,,,edge,constant
tursodb-reused,tursodb,transaction,hot-row-write,concurrency,single,1,1,1,63,0,0.0000,3.11,306.6,411.71,416.28,512.82,321.65,512.82,180,,,,,,,,,,,,edge,constant
tursodb-reused,tursodb,transaction,hot-row-write,concurrency,single,1,10,1,242,0,0.0000,11.46,765.17,1138.02,1256.79,1382.82,850.4,1394.29,655,,,,,,,,,,,,edge,constant
tursodb-concurrent,tursodb,concurrent,insert,kv,single,1,1,1,63,0,0.0000,3.15,293.03,405.66,489.07,906.96,317.44,906.96,179,,63,63,63,0,0,0,0.0000,0,0.0000,0.0000,edge,constant
tursodb-concurrent,tursodb,concurrent,insert,kv,single,1,10,1,96,0,0.0000,4.48,2294.12,2434.64,2486.22,2619.07,2183.71,2619.07,2164,,96,96,96,0,0,0,0.0000,0,0.0000,0.0000,edge,constant
tursodb-concurrent,tursodb,concurrent,independent-writes,concurrency,single,1,1,1,58,0,0.0000,2.86,339.26,417.04,435.1,716.72,349.52,716.72,179,,58,58,58,0,0,0,0.0000,0,0.0000,0.0000,edge,constant
tursodb-concurrent,tursodb,concurrent,independent-writes,concurrency,single,1,10,1,97,0,0.0000,4.5,2240.12,2490.8,2503.64,2594.03,2163.54,2594.03,2096,,97,97,97,0,0,0,0.0000,0,0.0000,0.0000,edge,constant
tursodb-concurrent,tursodb,concurrent,hot-row-write,concurrency,single,1,1,1,68,0,0.0000,3.38,293.39,409.08,412.91,422.17,296.18,422.17,176,,68,68,68,0,0,0,0.0000,0,0.0000,0.0000,edge,constant
tursodb-concurrent,tursodb,concurrent,hot-row-write,concurrency,single,1,10,1,420,333,0.4422,20.66,238.49,324.9,341.05,386.02,247.31,461.85,131,,753,2210,420,266,333,1790,0.8100,1457,0.6593,1.9349,edge,constant
d1-eeur,d1,none,insert,kv,single,1,1,1,119,0,0.0000,5.93,157.11,203.62,271.28,366.08,168.62,398.31,48,,,,,,,,,,,,edge,constant
d1-eeur,d1,none,insert,kv,single,1,10,1,1156,1,0.0009,57.33,164.82,201.86,244.05,356.91,174.01,386.29,59,,,,,,,,,,,,edge,constant
d1-eeur,d1,transaction,independent-writes,concurrency,single,1,1,1,125,0,0.0000,6.22,153.27,172.71,186.06,383.88,160.67,423.14,46,,,,,,,,,,,,edge,constant
d1-eeur,d1,transaction,independent-writes,concurrency,single,1,10,1,1179,0,0.0000,58.46,165.14,194.45,226.15,281.13,170.8,351.5,59,,,,,,,,,,,,edge,constant
d1-eeur,d1,transaction,hot-row-write,concurrency,single,1,1,1,117,0,0.0000,5.83,154.43,179.7,276.59,326.76,171.54,1138.49,49,,,,,,,,,,,,edge,constant
d1-eeur,d1,transaction,hot-row-write,concurrency,single,1,10,1,1127,0,0.0000,55.98,168.44,200.48,277.6,352.9,178.36,426.78,62,,,,,,,,,,,,edge,constant
