backend,test,workload,tenantMode,tenantCount,concurrency,run,success,errors,errorRate,rps,p50,p90,p95,p99,mean,max,dbP50,replicaRate,mode,loadModel
d1,lesson-page,lms,single,1,1,1,258,0,0.0000,4.29,227.7,261.67,274.07,313.22,233.13,359.56,147,,edge,constant
d1,lesson-page,lms,single,1,1,2,254,0,0.0000,4.22,229.87,262.42,280.46,356.5,236.84,444.32,149,,edge,constant
d1,lesson-page,lms,single,1,1,3,251,0,0.0000,4.16,229.33,265.68,289.74,671.7,240.08,925.86,150,,edge,constant
d1,lesson-page,lms,single,1,10,1,1820,0,0.0000,30.23,319.14,403.76,451.11,584.01,330.24,682.76,252,,edge,constant
d1,lesson-page,lms,single,1,10,2,1816,0,0.0000,30.14,323.66,401.47,446.91,579.34,331.11,747.76,255,,edge,constant
d1,lesson-page,lms,single,1,10,3,1867,0,0.0000,31.02,311.47,384.48,424.91,663.15,321.87,805.86,246,,edge,constant
d1,lesson-page,lms,single,1,50,1,2000,0,0.0000,48.16,1015.62,1236.47,1280.36,1398.21,1032.05,1630.27,948,,edge,constant
d1,lesson-page,lms,single,1,50,2,2000,0,0.0000,45.05,1077.72,1264.56,1360.96,1720.16,1101.54,1737.74,1016,,edge,constant
d1,lesson-page,lms,single,1,50,3,2000,0,0.0000,45.64,1068.14,1246.53,1531.34,1716.08,1085.55,1732.85,1004,,edge,constant
d1,lesson-page,lms,single,1,200,1,1986,14,0.0070,50.73,3741.74,4577.86,4876.02,4947.37,3869.42,4996.48,3674,,edge,constant
d1,lesson-page,lms,single,1,200,2,1999,1,0.0005,51.83,3863.86,4298.82,4366.23,4743.71,3827.86,4786.64,3759,,edge,constant
d1,lesson-page,lms,single,1,200,3,1964,36,0.0180,48.84,4036.1,4406.48,4721.75,4971.51,3987.02,4998.75,3862,,edge,constant
d1,mixed,lms,single,1,1,1,289,0,0.0000,4.82,204.58,253.24,292.37,480.01,207.59,1605.28,135,,edge,constant
d1,mixed,lms,single,1,1,2,298,0,0.0000,4.96,209.03,244.92,257.52,349.07,201.7,578.98,140,,edge,constant
d1,mixed,lms,single,1,1,3,255,0,0.0000,4.25,226.77,307.32,369.69,545,235.51,716.44,141,,edge,constant
d1,mixed,lms,single,1,10,1,1994,0,0.0000,33.02,290.63,420.17,478.42,742.22,302.37,1252.02,222,,edge,constant
d1,mixed,lms,single,1,10,2,1940,0,0.0000,32.21,289.12,417.74,497.89,739.96,310.08,3150.18,217,,edge,constant
d1,mixed,lms,single,1,10,3,2000,0,0.0000,37.8,262.42,356.11,405.57,475.11,263.89,541.65,192,,edge,constant
d1,mixed,lms,single,1,50,1,2000,0,0.0000,65.73,770.49,1037.61,1133.35,1363.25,754.47,1491.12,702,,edge,constant
d1,mixed,lms,single,1,50,2,1998,2,0.0010,63.7,781.25,1091.56,1215.11,1398.66,780.29,1560.76,716,,edge,constant
d1,mixed,lms,single,1,50,3,2000,0,0.0000,62.61,800.61,1135.71,1255.22,1466.32,793.2,1645.94,735,,edge,constant
